"covariate","principal","excl_2020_2021","covid_indicator","drop_inpatient","swine_poultry"
"oyster_z","1.010712 (0.959952-1.064956)","0.978202 (0.920809-1.040030)","1.011104 (0.960251-1.065440)","1.010402 (0.959813-1.064435)","1.007679 (0.956793-1.062109)"
"dairy_farm_z","1.044912 (1.005806-1.085405)*","1.039479 (0.998698-1.081856)","1.044683 (1.005553-1.085203)*","1.044495 (1.005500-1.084860)*","1.041887 (1.001844-1.083438)*"
"gw_household_z","1.079257 (1.006137-1.156547)*","1.098454 (1.005126-1.199931)*","1.078633 (1.005436-1.156018)*","1.078449 (1.005772-1.155261)*","1.083136 (1.009436-1.160979)*"
"gw_simple_z","1.058485 (0.997447-1.123308)","1.063229 (0.987329-1.144430)","1.058281 (0.997160-1.123194)","1.057139 (0.996448-1.121499)","1.057646 (0.996809-1.122271)"
"water_supply_z","1.012742 (0.933058-1.099159)","0.991923 (0.893092-1.101398)","1.012970 (0.933176-1.099520)","1.013337 (0.933888-1.099488)","1.006991 (0.927351-1.093500)"
"septic_pop_z","1.005834 (0.960934-1.052986)","0.997460 (0.940413-1.058234)","1.005585 (0.960649-1.052772)","1.006569 (0.961761-1.053629)","1.004726 (0.959253-1.052510)"
"ww_facility_z","0.990436 (0.934636-1.049730)","0.972600 (0.904047-1.046478)","0.990550 (0.934662-1.049947)","0.993228 (0.937755-1.052220)","0.990899 (0.935136-1.050119)"
"pub_sewage_z","1.001136 (0.909423-1.102434)","0.979315 (0.867722-1.105142)","1.001153 (0.909326-1.102594)","1.001184 (0.909739-1.102148)","0.998646 (0.907114-1.099824)"
"test_total_z","0.987199 (0.936881-1.040120)","0.983129 (0.919745-1.050806)","0.987128 (0.936739-1.040124)","0.987902 (0.937781-1.040631)","0.986380 (0.936224-1.039143)"
"sewer_repair_z","0.910535 (0.828727-1.000447)","0.918725 (0.835655-1.010067)","0.910314 (0.828478-1.000261)","0.911194 (0.829461-1.001010)","0.912039 (0.830450-1.001667)"
"paddy_z","0.961330 (0.885378-1.043307)","0.992581 (0.896764-1.097838)","0.960896 (0.884859-1.042967)","0.965980 (0.890499-1.047466)","0.963513 (0.886162-1.047005)"
"forest_z","0.828762 (0.751503-0.915377)*","0.859500 (0.759840-0.973514)*","0.829076 (0.751667-0.915860)*","0.823600 (0.747718-0.908448)*","0.830487 (0.753206-0.917063)*"
"residential_z","1.062441 (0.983041-1.148300)","1.073871 (0.972156-1.185846)","1.063241 (0.983676-1.149299)","1.072211 (0.994718-1.156028)","1.059991 (0.980440-1.146088)"
"health_practice_z","0.970724 (0.918739-1.025764)","1.013879 (0.939117-1.094939)","0.972632 (0.920529-1.027805)","0.971358 (0.919451-1.026312)","0.969872 (0.917867-1.024943)"
"food_safety_z","1.032085 (0.991552-1.074290)","1.055095 (1.005555-1.107029)*","1.032252 (0.991674-1.074507)","1.030301 (0.990082-1.072152)","1.033978 (0.993251-1.076364)"
"elderly_alone_z","0.968313 (0.914831-1.024767)","1.107939 (0.970438-1.264909)","0.969691 (0.916082-1.026296)","0.970235 (0.916916-1.026517)","0.970368 (0.916697-1.026999)"
"alone_80_84_z","0.958898 (0.909734-1.010137)","0.970935 (0.915664-1.029195)","0.959517 (0.910269-1.010859)","0.963045 (0.914544-1.013641)","0.960468 (0.911222-1.011772)"
"welfare_z","1.009579 (0.956715-1.065083)","1.004350 (0.937316-1.075954)","1.009096 (0.956175-1.064657)","1.008854 (0.956262-1.064067)","1.009534 (0.956808-1.064889)"
"fiscal_indep_z","0.861405 (0.791429-0.937504)*","0.945520 (0.843595-1.059806)","0.860378 (0.790389-0.936484)*","0.859871 (0.790343-0.935445)*","0.859622 (0.789763-0.935654)*"
"fiscal_auto_z","1.079458 (0.990987-1.176097)","1.016209 (0.912574-1.131762)","1.080788 (0.992140-1.177648)","1.074341 (0.987062-1.169476)","1.084558 (0.995043-1.182245)"
"sex_ratio_z","1.005656 (0.958185-1.055414)","0.965599 (0.917391-1.016725)","1.005864 (0.958332-1.055694)","1.002413 (0.955584-1.051437)","1.006009 (0.958588-1.055714)"
"elderly_rate_z","1.020142 (0.937246-1.110336)","0.987116 (0.887645-1.097372)","1.020023 (0.937083-1.110268)","1.016911 (0.934681-1.106309)","1.019159 (0.936378-1.109235)"
"urban_pop_rate_z","0.952615 (0.886761-1.023285)","0.917991 (0.835190-1.008686)","0.952421 (0.886504-1.023156)","0.960389 (0.895924-1.029539)","0.953244 (0.887248-1.024046)"
"net_migration_z","1.009559 (0.973789-1.046611)","0.993258 (0.946270-1.042494)","1.009880 (0.974071-1.046978)","1.009384 (0.973682-1.046361)","1.009958 (0.974071-1.047138)"
"med_in_z","1.042681 (0.959022-1.134288)","0.992293 (0.881099-1.118523)","1.042382 (0.958678-1.134045)","-","1.047848 (0.963179-1.140500)"
"clinic_family_z","1.005127 (0.952266-1.060749)","0.993586 (0.934958-1.055303)","1.005513 (0.952595-1.061201)","1.008109 (0.955559-1.063415)","1.005700 (0.952490-1.061709)"
"depression_z","1.022936 (0.986901-1.060310)","1.015128 (0.967937-1.064794)","1.023668 (0.987574-1.061110)","1.024615 (0.988706-1.061862)","1.023790 (0.987648-1.061278)"
"covid_era","-","-","3.037295 (1.568325-5.880207)*","-","-"
"swine_farm_z","-","-","-","-","1.006643 (0.962007-1.053370)"
"poultry_farm_z","-","-","-","-","0.972608 (0.922625-1.025617)"
"N_district_years","1100","660","1100","1100","1100"
