"metric","value"
"N_district_years",1100
"districts",223
"cases_all_229_districts",14950
"M6_DIC",5703.38786800591
"M6_WAIC",5716.05573606313
"crude_Moran_I",0.734805321122272
"crude_Moran_p",0.0000000000000000000000000000000000000000000000000000000000000000358242551371111
"residual_Moran_I",0.171439544266053
"residual_Moran_p",0.0000189970919908519
"high_risk",80
"low_risk",59
"analysed_districts",220
"M6_pD",145.871320768215
"high_risk_all_graph_nodes",80
"low_risk_all_graph_nodes",60
"pearson_residual_Moran_I",0.0839879712152256
"pearson_residual_Moran_p",0.0206277747994714
