"covariate","source_column","form","zero_inflated","n_levels","cut_points","n_negative","n","mean","sd","min","q1","median","q3","max","share_zero","districts_constant_over_years"
"oyster","굴_자연채묘 생산량(kg)","Q4",TRUE,2,"0 | 0 | 0",0,1090,7224.3119266056,87159.9829711314,0,0,0,0,1575000,0.980733944954128,212
"dairy_farm","농가수(호)_젖소","raw",TRUE,150,"",0,1090,31.7865137614678,75.7051638904961,0,0,7,35,1209,0.38256880733945,79
"gw_household","가정용_개소수","binary",FALSE,2,"x > 690 (median)",0,1090,2591.947706422,3728.63745919736,0,68,779,3691.25,17257,0.0220183486238532,25
"gw_simple","간이상수도용_개소수","binary",TRUE,2,"x > 0",0,1090,82.245871559633,103.262288322271,0,1,29,142,464,0.242201834862385,98
"water_supply","상수도보급률","Q4",FALSE,3,"91.2 | 98.8 | 100",0,1090,93.723119266055,9.84460704050223,47.6,90.9,98.6,100,100,0,86
"septic_pop","하수처리구역외_정화조인구","raw",TRUE,680,"",0,1090,12251.6238532111,17107.5360763082,0,47,5561,18156.5,128750,0.239449541284404,56
"ww_facility","폐수배출업소수","T3",FALSE,3,"78 | 195",0,1090,223.668960244648,301.734739117602,0,61,116.5,264,2957,0.00458715596330275,218
"pub_sewage","공공하수처리구역인구보급률(%)","Q4",FALSE,4,"66.5714 | 88.2444 | 99.6333",0,1090,81.5981132232069,19.3520805174902,28.7233333333333,66.2011904761905,87.6266666666667,99.6333333333333,100,0,54
"test_total","검사합계","binary",FALSE,2,"x > 95 (median)",0,1090,218.467889908257,389.844947370149,0,40,93.5,215,3425,0.00458715596330275,218
"sewer_repair","개·보수관로_부분보수(개소)_계","raw",TRUE,371,"",0,1090,816.0047706422,7324.4315971204,0,0,58,300,162686,0.320183486238532,27
"paddy","답","raw",FALSE,1024,"",0,1090,47799017.8521391,52071266.6174839,0,1891257.075,31888218.6125,78000401.025,234259364.9,0.0321100917431193,9
"forest","임야","T3",FALSE,3,"39274600 | 324616000",0,1090,274160834.074428,297626049.249546,0,17819201.4,207980964,431284120.225,1523178393,0.0091743119266055,3
"residential","대","Q4",FALSE,4,"7935490 | 11788300 | 17620300",0,1090,13449134.1788532,7550618.17632012,0,7988371.23333333,11767559.55,17657152.025,55929313.3,0.00458715596330275,1
"health_practice","건강생활실천율_조율","raw",FALSE,396,"",0,1090,33.7877706422018,9.07310322136246,12.7,27.2,32.9,39.675,63.1,0,0
"food_safety","식품안정성확보율_표준화율","binary",FALSE,2,"x > 96.9 (median)",0,1090,95.9111636085627,3.22903633610281,80.9,94.7,96.9,98.175,100,0,5
"elderly_alone","독거노인비율","log1p",FALSE,666,"log(1 + max(x, 0))",0,1090,22.3467008609646,3.97062497893519,2.981073059,19.62733229,22.679411098256,25.07994031,32.1881858956007,0,1
"alone_80_84","1인가구_80~84세","raw",FALSE,891,"",0,1090,1427.99541284404,875.609752113044,171,810.25,1216.5,1875,6207,0,0
"welfare","기초생활수급자수율","binary",FALSE,2,"x > 5.02 (median)",0,1090,4.91504587155963,1.68744900891064,1.45,3.67,5.02,5.94,11.56,0,218
"fiscal_indep","재정자립도","raw",FALSE,403,"",0,1090,24.2214220183486,12.2383075997924,6.6,15.3,20.4,30.075,70.7,0,0
"fiscal_auto","재정자주도","raw",FALSE,371,"",0,1090,57.4450458715596,11.5011067957713,25.3,52.925,60.8,65.5,86.8,0,0
"sex_ratio","성비","raw",FALSE,419,"",0,1090,100.387107033639,5.43174811022349,87.2,96.7,99.7,103.2,119.9,0,0
"elderly_rate","고령인구비율","Q4",FALSE,4,"16.7 | 21.6 | 31.25",0,1090,24.1286697247706,8.97961964315936,8.2,16.8,21.9,31.4,47.5,0,0
"urban_pop_rate","도시지역인구비율","T3",FALSE,2,"63.73 | 100",0,1090,75.3459789445138,26.6714742030618,17.35,53.575,86.61,100,100,0,87
"net_migration","순이동인구","log1p",FALSE,358,"log(1 + max(x, 0))",681,1090,32.3137614678912,5113.83991951254,-18290,-1379.5,-187,443.25,36165,0.00825688073394495,1
"med_in","관내진료비_입원","log1p",FALSE,800,"log(1 + max(x, 0))",0,1090,52501848.2467584,55145166.6365881,0,11663994,35442298.5,73055888,378308215,0.00458715596330275,3
"clinic_family","의원_가정의학과","Q4",TRUE,4,"0 | 2 | 5",0,1090,3.23356269113149,3.74349283376692,0,0,2,5,20,0.255045871559633,139
"depression","우울감경험률_표준화율","binary",FALSE,2,"x > 6.4 (median)",0,1090,6.46646483180428,2.26020727136616,0.4,4.9,6.5,8,13.2,0,0
