"source","variable","zeros_set_NA_study_years","over100_set_NA_study_years","noncomparable_year_set_NA_study_years","noncomparable_years","NA_study_years_before_fill","NA_study_years_after_fill"
"health_parquet","건강생활실천율_조율",2,0,0,"",2,0
"health_parquet","상수도보급률",382,0,0,"",382,0
"health_parquet","독거노인비율",233,1,227,"2024",462,0
"health_parquet","기초생활수급자수율",684,0,0,"",916,0
"health_parquet","재정자립도",10,0,0,"",10,10
"health_parquet","재정자주도",10,0,0,"",10,10
"health_parquet","성비",1,0,0,"",1,0
"health_parquet","고령인구비율",1,0,0,"",1,0
"health_parquet","도시지역인구비율",3,10,0,"",13,0
"health_parquet","순이동인구",0,0,0,"",110,0
"health_parquet","관내진료비_입원",96,0,0,"",321,0
"health_parquet","의원_가정의학과",0,0,0,"",0,0
"health_parquet","우울감경험률_표준화율",1,0,0,"",3,0
"health_parquet","식품안정성확보율_표준화율",913,0,0,"",917,0
"health_parquet","폐수배출업소수",684,0,0,"",916,0
"생활용지하수이용현황_전처리.csv","가정용_개소수",0,0,0,"",458,0
"생활용지하수이용현황_전처리.csv","간이상수도용_개소수",0,0,0,"",458,0
"merged_지하수수질.csv","검사합계",687,0,0,"",916,0
"merged_하수관로개보수.csv","개·보수관로_부분보수(개소)_계",0,0,0,"",0,0
"merged_하수도보급률.csv","공공하수처리구역인구보급률(%)",5,0,0,"",5,5
"merged_하수도보급률.csv","하수처리구역외_정화조인구",0,0,0,"",0,0
"merged_하수도보급률.csv","총면적(㎢)",0,0,0,"",0,0
"가축두수_전처리.csv","농가수(호)_젖소",0,0,0,"",229,0
"가축두수_전처리.csv","농가수(호)_돼지",0,0,0,"",229,0
"가축두수_전처리.csv","농가수(호)_가금",0,0,0,"",229,0
"고령인구_전처리.csv","1인가구_80~84세",0,0,0,"",12,0
"국토이용현황_전처리_수정.csv","답",0,0,0,"",0,0
"국토이용현황_전처리_수정.csv","임야",0,0,0,"",0,0
"국토이용현황_전처리_수정.csv","대",0,0,0,"",0,0
"어패류_패류_전처리.csv","굴_자연채묘 생산량(kg)",0,0,0,"",458,0
