"covariate","region","year","value","q1","q3","filled_value"
"water_supply","충청남도청양군",2020,45.7,91.2,100,48.7
"food_safety","경상북도영양군",2020,74.1,94.625,98.1,92.9
"food_safety","경상북도영양군",2021,74.1,94.625,98.1,92.9
"food_safety","경상북도영양군",2022,74.1,94.625,98.1,92.9
"food_safety","경상북도영양군",2023,74.1,94.625,98.1,92.9
"welfare","경기도성남시",2020,34.96,3.7,5.94,NA
"welfare","경기도성남시",2021,34.96,3.7,5.94,NA
"welfare","경기도성남시",2022,34.96,3.7,5.94,NA
"welfare","경기도성남시",2023,34.96,3.7,5.94,NA
"welfare","경기도성남시",2024,34.96,3.7,5.94,NA
"welfare","경기도수원시",2020,38.03,3.7,5.94,NA
"welfare","경기도수원시",2021,38.03,3.7,5.94,NA
"welfare","경기도수원시",2022,38.03,3.7,5.94,NA
"welfare","경기도수원시",2023,38.03,3.7,5.94,NA
"welfare","경기도수원시",2024,38.03,3.7,5.94,NA
"sex_ratio","경기도남양주시",2024,49.05,96.7,103.185,98.4
"sex_ratio","경상남도창원시",2024,51.25,96.7,103.185,102.5
