"region","Gi_z"
"서울시종로구",1.699
"서울시중구",1.712
"서울시용산구",0.086
"서울시성동구",0.704
"서울시광진구",0.205
"서울시동대문구",0.902
"서울시중랑구",1.166
"서울시성북구",1.732
"서울시강북구",1.751
"서울시도봉구",1.843
"서울시노원구",2.298
"서울시은평구",2.008
"서울시서대문구",1.662
"서울시마포구",2.075
"서울시양천구",1.607
"서울시강서구",2.343
"서울시구로구",1.148
"서울시금천구",0.909
"서울시영등포구",1.659
"서울시동작구",0.48
"서울시관악구",0.367
"서울시서초구",-0.015
"서울시강남구",-0.355
"서울시송파구",-0.708
"서울시강동구",0.711
"부산시중구",-1.982
"부산시서구",-2.825
"부산시동구",-2.685
"부산시영도구",-1.217
"부산시부산진구",-3.525
"부산시동래구",-3.155
"부산시남구",-2.78
"부산시북구",-3.62
"부산시해운대구",-2.523
"부산시사하구",-1.963
"부산시금정구",-3.11
"부산시강서구",-2.965
"부산시연제구",-2.625
"부산시수영구",-2.509
"부산시사상구",-2.7
"부산시기장군",-2.891
"대구시중구",-2.532
"대구시동구",-2.894
"대구시서구",-2.304
"대구시남구",-2.143
"대구시북구",-2.496
"대구시수성구",-2.461
"대구시달서구",-2.534
"대구시달성군",-3.424
"인천시중구",2.827
"인천시동구",2.644
"인천시남동구",2.945
"인천시연수구",2.587
"인천시남구",2.548
"인천시부평구",2.222
"인천시계양구",2.338
"인천시서구",2.505
"인천시강화군",2.067
"광주시동구",-1.106
"광주시서구",-1.191
"광주시남구",-1.136
"광주시북구",-0.638
"광주시광산구",-0.381
"대전시동구",1.774
"대전시중구",1.345
"대전시서구",1.554
"대전시유성구",1.673
"대전시대덕구",1.125
"울산시중구",-2.301
"울산시남구",-2.533
"울산시동구",-1.987
"울산시북구",-2.668
"울산시울주군",-3.362
"세종시세종시",1.421
"경기도의정부시",2.59
"경기도광명시",1.821
"경기도평택시",2.643
"경기도동두천시",2.311
"경기도과천시",0.043
"경기도구리시",1.093
"경기도남양주시",2.137
"경기도오산시",1.447
"경기도시흥시",2.089
"경기도군포시",1.268
"경기도의왕시",1.164
"경기도하남시",0.983
"경기도파주시",2.238
"경기도이천시",2.475
"경기도안성시",2.851
"경기도김포시",3.082
"경기도화성시",1.647
"경기도광주시",1.721
"경기도양주시",3.1
"경기도포천시",2.586
"경기도여주시",1.532
"경기도가평군",1.887
"경기도양평군",1.842
"강원도춘천시",0.436
"강원도원주시",0.453
"강원도강릉시",-0.238
"강원도동해시",-1.46
"강원도태백시",-1.627
"강원도속초시",-0.906
"강원도삼척시",-1.695
"강원도홍천군",0.557
"강원도횡성군",0.909
"강원도영월군",-1.015
"강원도평창군",0.251
"강원도정선군",-1.302
"강원도철원군",1.014
"강원도화천군",0.743
"강원도양구군",-0.204
"강원도인제군",-0.365
"강원도고성군",-0.663
"강원도양양군",-0.137
"충청북도충주시",1.343
"충청북도제천시",-0.702
"충청북도보은군",1.461
"충청북도옥천군",1.311
"충청북도영동군",0.101
"충청북도진천군",2.868
"충청북도괴산군",1.186
"충청북도음성군",3.412
"충청북도단양군",-0.72
"충청북도증평군",2.729
"충청남도공주시",3.853
"충청남도보령시",3.497
"충청남도아산시",3.91
"충청남도서산시",3.607
"충청남도논산시",3.203
"충청남도계룡시",1.807
"충청남도당진시",3.316
"충청남도금산군",1.8
"충청남도부여군",3.804
"충청남도서천군",3.383
"충청남도청양군",4.706
"충청남도홍성군",3.595
"충청남도예산군",4.348
"충청남도태안군",1.439
"전라북도군산시",2.633
"전라북도익산시",3.566
"전라북도정읍시",3.116
"전라북도남원시",-1.247
"전라북도김제시",3.515
"전라북도완주군",2.446
"전라북도진안군",0.316
"전라북도무주군",-0.471
"전라북도장수군",-1.317
"전라북도임실군",0.97
"전라북도순창군",0.656
"전라북도고창군",2.045
"전라북도부안군",2.753
"전라남도목포시",-0.468
"전라남도여수시",-1.538
"전라남도순천시",-1.778
"전라남도나주시",-0.492
"전라남도광양시",-2.241
"전라남도담양군",0.103
"전라남도곡성군",-1.089
"전라남도구례군",-2.029
"전라남도고흥군",-0.684
"전라남도보성군",-1.413
"전라남도화순군",-1.656
"전라남도장흥군",-0.856
"전라남도강진군",-1.657
"전라남도해남군",-1.254
"전라남도영암군",-1.838
"전라남도무안군",-0.707
"전라남도함평군",-0.224
"전라남도영광군",0.589
"전라남도장성군",0.756
"전라남도신안군",-1.219
"경상북도경주시",-2.274
"경상북도김천시",-1.751
"경상북도안동시",-1.819
"경상북도구미시",-2.495
"경상북도영주시",-1.29
"경상북도영천시",-2.738
"경상북도상주시",0.118
"경상북도문경시",0.006
"경상북도경산시",-2.316
"대구시군위군",-2.745
"경상북도의성군",-2.503
"경상북도청송군",-2.504
