year,districts,missing_in_source,zero_in_source,zero_structural_kept,zero_recoded_missing,median_positive,structural_zero_districts
2008,229,1,228,1,227,,1
2009,229,1,228,1,227,,1
2010,229,1,228,1,227,,1
2011,229,0,1,1,0,18377292.0,1
2012,229,0,1,1,0,17738362.0,1
2013,229,0,1,1,0,18981324.0,1
2014,229,0,3,1,2,20850913.0,1
2015,229,0,3,1,2,23320500.25,1
2016,229,0,4,1,3,26392297.0,1
2017,229,0,3,1,2,28629670.5,1
2018,229,0,4,1,3,31112708.0,1
2019,229,0,0,0,0,93866722.0,1
2020,229,0,4,1,3,34148487.0,1
2021,229,0,4,1,3,34280154.0,1
2022,229,0,4,1,3,35979186.0,1
2023,229,0,85,1,84,34944828.0,1
2024,229,225,4,1,3,,1
