"model","run","DIC","WAIC","pD","n_credible","credible_set","gw_household","dairy_farm","forest","fiscal_indep"
"M1",1,6400.05267095198,6405.80629945823,28.8435439315526,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102542742951,1.06891894754766,0.664989237496513,0.727865306402833
"M1",2,6400.05267512652,6405.8062983559,28.8435402541081,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102543064282,1.06891894956324,0.664989246783018,0.727865309797166
"M1",3,6400.05262714193,6405.80649712424,28.8438195467106,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102527432358,1.06891886373957,0.664988802252545,0.72786514112616
"M1",4,6400.05270228558,6405.80618802808,28.8433813318752,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102551925675,1.06891899729836,0.664989498020837,0.727865405343368
"M1",5,6400.05269999047,6405.80618632012,28.8433811687046,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102551865855,1.06891899712283,0.664989496489692,0.727865404680358
"M1",6,6400.0526241403,6405.80649697471,28.8438223213516,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102527181307,1.06891886282097,0.664988795976178,0.727865138774932
"M1",7,6400.05270228558,6405.80618802808,28.8433813318734,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102551925675,1.06891899729836,0.664989498020837,0.727865405343368
"M1",8,6400.05267252858,6405.80631057716,28.8435553634245,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102542205936,1.06891894435868,0.664989221843226,0.727865300459358
"M1",9,6400.05269733664,6405.80618548136,28.8433822800453,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102551729282,1.06891899680375,0.664989492760057,0.727865403218275
"M1",10,6400.05269993784,6405.80618463476,28.8433807692072,14,"alone_80_84;clinic_family;dairy_farm;depression;elderly_alone;elderly_rate;fiscal_auto;fiscal_indep;forest;gw_household;health_practice;oyster;urban_pop_rate;welfare",1.24102551906493,1.06891899764389,0.664989497907029,0.727865405187736
"M2",1,6261.45545933707,6272.52309172515,93.441437753866,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11098649936062,1.03628643377431,0.813870841779702,0.800399525478832
"M2",2,6261.44007292921,6272.51652751322,93.464151749944,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11097747633357,1.03627928383179,0.813887878283986,0.800401363868938
"M2",3,6261.45519223033,6272.52300475469,93.441357098407,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11098641774606,1.03628639367381,0.81387100661529,0.800399542781422
"M2",4,6261.43998539857,6272.51649129283,93.4643024799243,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11097742204086,1.03627923969362,0.813887976408838,0.800401374647593
"M2",5,6261.43996944978,6272.51646125245,93.4644255429575,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11097738895226,1.03627921162622,0.813888056786833,0.800401381806822
"M2",6,6261.43982049935,6272.51641200789,93.4645235746493,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11097732371217,1.03627916562072,0.813888172684673,0.800401395240675
"M2",7,6261.43986052352,6272.51648894737,93.4641541171468,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.1109774147783,1.03627924608569,0.813887962956311,0.800401375166139
"M2",8,6261.43927049054,6272.51622226166,93.4652890138432,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11097702500052,1.03627892472998,0.813888684483627,0.800401453748655
"M2",9,6261.45509986316,6272.52301029799,93.4414870573664,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11098638615319,1.03628635901231,0.813871015819933,0.800399546993689
"M2",10,6261.43992365981,6272.51647737621,93.464444087881,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.1109773830169,1.03627920468322,0.813888028536216,0.800401381864147
