"spec","covariate","IRR","lo","hi","credible","N","districts","DIC","WAIC"
"flagged_values_retained","oyster_z",1.010596,0.959841,1.064819,0,1100,220,5702.54,5715.08
"flagged_values_retained","dairy_farm_z",1.044913,1.005781,1.085437,1,1100,220,5702.54,5715.08
"flagged_values_retained","gw_household_z",1.079348,1.006204,1.156686,1,1100,220,5702.54,5715.08
"flagged_values_retained","gw_simple_z",1.05849,0.997396,1.123377,0,1100,220,5702.54,5715.08
"flagged_values_retained","water_supply_z",1.012805,0.933065,1.099289,0,1100,220,5702.54,5715.08
"flagged_values_retained","septic_pop_z",1.005906,0.960956,1.053107,0,1100,220,5702.54,5715.08
"flagged_values_retained","ww_facility_z",0.990468,0.934621,1.049812,0,1100,220,5702.54,5715.08
"flagged_values_retained","pub_sewage_z",1.001151,0.909365,1.10253,0,1100,220,5702.54,5715.08
"flagged_values_retained","test_total_z",0.987245,0.936889,1.040208,0,1100,220,5702.54,5715.08
"flagged_values_retained","sewer_repair_z",0.910502,0.828662,1.000451,0,1100,220,5702.54,5715.08
"flagged_values_retained","paddy_z",0.961362,0.885363,1.043405,0,1100,220,5702.54,5715.08
"flagged_values_retained","forest_z",0.828725,0.751424,0.915363,1,1100,220,5702.54,5715.08
"flagged_values_retained","residential_z",1.062361,0.982903,1.148288,0,1100,220,5702.54,5715.08
"flagged_values_retained","health_practice_z",0.970737,0.918709,1.025819,0,1100,220,5702.54,5715.08
"flagged_values_retained","food_safety_z",1.032116,0.991548,1.074357,0,1100,220,5702.54,5715.08
"flagged_values_retained","elderly_alone_z",0.968193,0.914666,1.024697,0,1100,220,5702.54,5715.08
"flagged_values_retained","alone_80_84_z",0.958916,0.909707,1.01021,0,1100,220,5702.54,5715.08
"flagged_values_retained","welfare_z",1.009621,0.95672,1.065173,0,1100,220,5702.54,5715.08
"flagged_values_retained","fiscal_indep_z",0.861394,0.791373,0.937551,1,1100,220,5702.54,5715.08
"flagged_values_retained","fiscal_auto_z",1.079442,0.990904,1.176149,0,1100,220,5702.54,5715.08
"flagged_values_retained","sex_ratio_z",1.00565,0.95812,1.055474,0,1100,220,5702.54,5715.08
"flagged_values_retained","elderly_rate_z",1.020207,0.937239,1.110482,0,1100,220,5702.54,5715.08
"flagged_values_retained","urban_pop_rate_z",0.952605,0.886703,1.02333,0,1100,220,5702.54,5715.08
"flagged_values_retained","net_migration_z",1.009566,0.973765,1.046651,0,1100,220,5702.54,5715.08
"flagged_values_retained","med_in_z",1.04266,0.958951,1.134316,0,1100,220,5702.54,5715.08
"flagged_values_retained","clinic_family_z",1.005192,0.952284,1.060867,0,1100,220,5702.54,5715.08
"flagged_values_retained","depression_z",1.023031,0.986958,1.060442,0,1100,220,5702.54,5715.08
"sewer_repair_log","oyster_z",1.005571,0.95426,1.060482,0,1090,218,5625.71,5635.3
"sewer_repair_log","dairy_farm_z",1.044387,1.004625,1.085588,1,1090,218,5625.71,5635.3
"sewer_repair_log","gw_household_z",1.067289,0.991086,1.147961,0,1090,218,5625.71,5635.3
"sewer_repair_log","gw_simple_z",1.044978,0.982085,1.111849,0,1090,218,5625.71,5635.3
"sewer_repair_log","water_supply_z",1.015307,0.934445,1.103172,0,1090,218,5625.71,5635.3
"sewer_repair_log","septic_pop_z",1.007781,0.961504,1.056475,0,1090,218,5625.71,5635.3
"sewer_repair_log","ww_facility_z",0.982149,0.92425,1.043717,0,1090,218,5625.71,5635.3
"sewer_repair_log","pub_sewage_z",1.008039,0.91314,1.113137,0,1090,218,5625.71,5635.3
"sewer_repair_log","test_total_z",0.984506,0.933411,1.038303,0,1090,218,5625.71,5635.3
"sewer_repair_log","sewer_repair_z",1.013527,0.977221,1.051163,0,1090,218,5625.71,5635.3
"sewer_repair_log","paddy_z",0.956941,0.880258,1.039815,0,1090,218,5625.71,5635.3
"sewer_repair_log","forest_z",0.83364,0.754351,0.922765,1,1090,218,5625.71,5635.3
"sewer_repair_log","residential_z",1.074298,0.992748,1.162626,0,1090,218,5625.71,5635.3
"sewer_repair_log","health_practice_z",0.976444,0.923611,1.032394,0,1090,218,5625.71,5635.3
"sewer_repair_log","food_safety_z",1.031481,0.990124,1.07457,0,1090,218,5625.71,5635.3
"sewer_repair_log","elderly_alone_z",0.96196,0.90813,1.01883,0,1090,218,5625.71,5635.3
"sewer_repair_log","alone_80_84_z",0.955673,0.901399,1.012591,0,1090,218,5625.71,5635.3
"sewer_repair_log","welfare_z",1.005498,0.950419,1.063449,0,1090,218,5625.71,5635.3
"sewer_repair_log","fiscal_indep_z",0.861165,0.789122,0.939657,1,1090,218,5625.71,5635.3
"sewer_repair_log","fiscal_auto_z",1.073144,0.984384,1.170141,0,1090,218,5625.71,5635.3
"sewer_repair_log","sex_ratio_z",1.053787,0.983977,1.128969,0,1090,218,5625.71,5635.3
"sewer_repair_log","elderly_rate_z",1.043456,0.954819,1.140253,0,1090,218,5625.71,5635.3
"sewer_repair_log","urban_pop_rate_z",0.963976,0.89638,1.036646,0,1090,218,5625.71,5635.3
"sewer_repair_log","net_migration_z",1.005996,0.969479,1.04389,0,1090,218,5625.71,5635.3
"sewer_repair_log","med_in_z",1.056337,0.968786,1.152549,0,1090,218,5625.71,5635.3
"sewer_repair_log","clinic_family_z",1.002068,0.947195,1.059875,0,1090,218,5625.71,5635.3
"sewer_repair_log","depression_z",1.025252,0.988591,1.063299,0,1090,218,5625.71,5635.3
"retained_and_sewer_log","oyster_z",1.007195,0.956503,1.061368,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","dairy_farm_z",1.046998,1.007649,1.087744,1,1100,220,5709.84,5720.14
"retained_and_sewer_log","gw_household_z",1.067349,0.994581,1.144326,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","gw_simple_z",1.05835,0.997077,1.123438,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","water_supply_z",1.009475,0.929664,1.09612,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","septic_pop_z",1.006622,0.961557,1.053942,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","ww_facility_z",0.992547,0.93638,1.052202,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","pub_sewage_z",1.003492,0.91117,1.105416,0,1100,220,5709.84,5720.14
