"spec","covariate","IRR","lo","hi","credible","DIC","WAIC"
"principal","oyster_z",1.008927,0.957565,1.063831,0,5618.36,5629.59
"principal","dairy_farm_z",1.042255,1.002756,1.083188,1,5618.36,5629.59
"principal","gw_household_z",1.077049,1.000539,1.158054,1,5618.36,5629.59
"principal","gw_simple_z",1.045174,0.9825,1.1118,0,5618.36,5629.59
"principal","water_supply_z",1.018135,0.937468,1.105695,0,5618.36,5629.59
"principal","septic_pop_z",1.00738,0.961264,1.055904,0,5618.36,5629.59
"principal","ww_facility_z",0.97943,0.921878,1.040641,0,5618.36,5629.59
"principal","pub_sewage_z",1.007682,0.913126,1.112439,0,5618.36,5629.59
"principal","test_total_z",0.985848,0.934815,1.039574,0,5618.36,5629.59
"principal","sewer_repair_z",0.907014,0.825534,0.996565,1,5618.36,5629.59
"principal","paddy_z",0.95657,0.880239,1.039055,0,5618.36,5629.59
"principal","forest_z",0.836285,0.757045,0.925262,1,5618.36,5629.59
"principal","residential_z",1.06731,0.986326,1.155015,0,5618.36,5629.59
"principal","health_practice_z",0.976056,0.923349,1.03186,0,5618.36,5629.59
"principal","food_safety_z",1.031322,0.990079,1.074296,0,5618.36,5629.59
"principal","elderly_alone_z",0.961637,0.907898,1.018386,0,5618.36,5629.59
"principal","alone_80_84_z",0.960625,0.906341,1.017533,0,5618.36,5629.59
"principal","welfare_z",1.004969,0.950019,1.062773,0,5618.36,5629.59
"principal","fiscal_indep_z",0.861159,0.789214,0.939536,1,5618.36,5629.59
"principal","fiscal_auto_z",1.074739,0.985977,1.171699,0,5618.36,5629.59
"principal","sex_ratio_z",1.060774,0.990743,1.136185,0,5618.36,5629.59
"principal","elderly_rate_z",1.039987,0.951996,1.136059,0,5618.36,5629.59
"principal","urban_pop_rate_z",0.961949,0.894623,1.034301,0,5618.36,5629.59
"principal","net_migration_z",1.007969,0.971551,1.045744,0,5618.36,5629.59
"principal","med_in_z",1.062037,0.974264,1.158474,0,5618.36,5629.59
"principal","clinic_family_z",0.999785,0.945378,1.05708,0,5618.36,5629.59
"principal","depression_z",1.024314,0.987759,1.062249,0,5618.36,5629.59
"oyster_ever_producer","oyster_z",0.947667,0.901457,0.996798,1,5613.43,5627.08
"oyster_ever_producer","dairy_farm_z",1.04382,1.00454,1.08452,1,5613.43,5627.08
"oyster_ever_producer","gw_household_z",1.086735,1.010877,1.167016,1,5613.43,5627.08
"oyster_ever_producer","gw_simple_z",1.046909,0.98494,1.112721,0,5613.43,5627.08
"oyster_ever_producer","water_supply_z",1.019946,0.939974,1.106632,0,5613.43,5627.08
"oyster_ever_producer","septic_pop_z",1.012202,0.965962,1.060844,0,5613.43,5627.08
"oyster_ever_producer","ww_facility_z",0.981155,0.924332,1.041528,0,5613.43,5627.08
"oyster_ever_producer","pub_sewage_z",1.010631,0.916773,1.114603,0,5613.43,5627.08
"oyster_ever_producer","test_total_z",0.987256,0.936892,1.04029,0,5613.43,5627.08
"oyster_ever_producer","sewer_repair_z",0.91222,0.83249,0.999607,1,5613.43,5627.08
"oyster_ever_producer","paddy_z",0.949236,0.874353,1.030121,0,5613.43,5627.08
"oyster_ever_producer","forest_z",0.827553,0.750455,0.91386,1,5613.43,5627.08
"oyster_ever_producer","residential_z",1.059186,0.979838,1.144923,0,5613.43,5627.08
"oyster_ever_producer","health_practice_z",0.976903,0.92443,1.032392,0,5613.43,5627.08
"oyster_ever_producer","food_safety_z",1.035254,0.994169,1.078056,0,5613.43,5627.08
"oyster_ever_producer","elderly_alone_z",0.958321,0.905198,1.014381,0,5613.43,5627.08
"oyster_ever_producer","alone_80_84_z",0.97774,0.923609,1.034595,0,5613.43,5627.08
"oyster_ever_producer","welfare_z",1.007719,0.953351,1.064877,0,5613.43,5627.08
"oyster_ever_producer","fiscal_indep_z",0.864455,0.793115,0.942154,1,5613.43,5627.08
"oyster_ever_producer","fiscal_auto_z",1.078937,0.990864,1.174955,0,5613.43,5627.08
"oyster_ever_producer","sex_ratio_z",1.068381,0.998803,1.143277,0,5613.43,5627.08
"oyster_ever_producer","elderly_rate_z",1.046735,0.958706,1.142831,0,5613.43,5627.08
"oyster_ever_producer","urban_pop_rate_z",0.955183,0.88881,1.026489,0,5613.43,5627.08
"oyster_ever_producer","net_migration_z",1.006923,0.970667,1.044535,0,5613.43,5627.08
"oyster_ever_producer","med_in_z",1.063532,0.976214,1.159322,0,5613.43,5627.08
"oyster_ever_producer","clinic_family_z",0.993839,0.940136,1.050329,0,5613.43,5627.08
"oyster_ever_producer","depression_z",1.023853,0.987395,1.061682,0,5613.43,5627.08
"oyster_dropped","dairy_farm_z",1.042531,1.003111,1.083387,1,5618.29,5628.49
"oyster_dropped","gw_household_z",1.078647,1.002793,1.15905,1,5618.29,5628.49
"oyster_dropped","gw_simple_z",1.045303,0.982858,1.111689,0,5618.29,5628.49
"oyster_dropped","water_supply_z",1.01856,0.938128,1.105876,0,5618.29,5628.49
"oyster_dropped","septic_pop_z",1.007596,0.961601,1.056008,0,5618.29,5628.49
"oyster_dropped","ww_facility_z",0.979796,0.922506,1.040762,0,5618.29,5628.49
"oyster_dropped","pub_sewage_z",1.008337,0.914081,1.112806,0,5618.29,5628.49
"oyster_dropped","test_total_z",0.986302,0.935525,1.039808,0,5618.29,5628.49
"oyster_dropped","sewer_repair_z",0.907869,0.826771,0.996933,1,5618.29,5628.49
"oyster_dropped","paddy_z",0.956037,0.880049,1.038036,0,5618.29,5628.49
"oyster_dropped","forest_z",0.834573,0.756101,0.922444,1,5618.29,5628.49
"oyster_dropped","residential_z",1.066085,0.985728,1.152904,0,5618.29,5628.49
"oyster_dropped","health_practice_z",0.975594,0.923028,1.03122,0,5618.29,5628.49
"oyster_dropped","food_safety_z",1.031873,0.990839,1.074654,0,5618.29,5628.49
"oyster_dropped","elderly_alone_z",0.961198,0.907678,1.017671,0,5618.29,5628.49
"oyster_dropped","alone_80_84_z",0.963192,0.911071,1.017954,0,5618.29,5628.49
"oyster_dropped","welfare_z",1.00531,0.95057,1.062908,0,5618.29,5628.49
"oyster_dropped","fiscal_indep_z",0.861407,0.789706,0.939526,1,5618.29,5628.49
"oyster_dropped","fiscal_auto_z",1.075518,0.98715,1.172099,0,5618.29,5628.49
"oyster_dropped","sex_ratio_z",1.061617,0.992037,1.136636,0,5618.29,5628.49
"oyster_dropped","elderly_rate_z",1.04078,0.953027,1.136623,0,5618.29,5628.49
"oyster_dropped","urban_pop_rate_z",0.961124,0.89413,1.033041,0,5618.29,5628.49
"oyster_dropped","net_migration_z",1.008011,0.971632,1.045742,0,5618.29,5628.49
"oyster_dropped","med_in_z",1.061778,0.974219,1.157958,0,5618.29,5628.49
"oyster_dropped","clinic_family_z",0.999072,0.944971,1.055961,0,5618.29,5628.49
