"covariate","IRR","lo","hi","credible"
"oyster",1.007989,0.95671,1.0628,0
"dairy_farm",1.042353,1.002778,1.08337,1
"gw_household",1.077646,1.001111,1.158688,1
"gw_simple",1.046931,0.984315,1.113477,0
"water_supply",1.018691,0.938038,1.106205,0
"septic_pop",1.008267,0.962073,1.056876,0
"ww_facility",0.980385,0.922899,1.041498,0
"pub_sewage",1.016309,0.920411,1.122728,0
"test_total",0.985593,0.934648,1.039204,0
"sewer_repair",0.906339,0.82477,0.996002,1
"paddy",0.956404,0.880173,1.038804,0
"forest",0.836616,0.757347,0.925659,1
"residential",1.06757,0.986731,1.155071,0
"health_practice",0.976877,0.924144,1.032712,0
"food_safety",1.031495,0.990215,1.074505,0
"elderly_alone",0.961614,0.907879,1.018357,0
"alone_80_84",0.961236,0.907405,1.017687,0
"welfare",1.003908,0.949149,1.061513,0
"fiscal_indep",0.861738,0.789911,0.940014,1
"fiscal_auto",1.074713,0.986014,1.171555,0
"sex_ratio",1.061653,0.991601,1.137106,0
"elderly_rate",1.046769,0.958266,1.14344,0
"urban_pop_rate",0.961741,0.89446,1.03404,0
"net_migration",1.010801,0.974583,1.048363,0
"med_in",1.063159,0.975333,1.15967,0
"clinic_family",0.996847,0.942612,1.053928,0
"depression",1.021488,0.98509,1.059251,0
