covariate,year_r2_before_repair,year_r2_after_repair
oyster,0.0037,0.0037
dairy_farm,0.0006,0.0006
gw_household,0.2843,0.0005
gw_simple,0.5411,0.0001
water_supply,0.0009,0.0028
septic_pop,0.0069,0.0069
ww_facility,0.8646,0.0000
pub_sewage,0.0012,0.0011
test_total,0.9851,0.0000
sewer_repair,0.0043,0.0044
paddy,0.0000,0.0000
forest,0.0000,0.0000
residential,0.0005,0.0006
health_practice,0.1078,0.1098
food_safety,1.0000,0.0000
elderly_alone,0.9559,0.0775
alone_80_84,0.0250,0.0253
welfare,0.9944,0.0000
fiscal_indep,0.0014,0.0010
fiscal_auto,0.0084,0.0105
sex_ratio,0.0008,0.0007
elderly_rate,0.0256,0.0240
urban_pop_rate,0.0010,0.0001
net_migration,0.0061,0.0061
med_in,0.2213,0.0004
clinic_family,0.0046,0.0041
depression,0.0488,0.0492
